manufacturer,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
audi,Q3,2016,917200,Automatic,39603,Diesel,160,50.4,2
audi,Q3,2017,92030,Automatic,42908,Diesel,145,51.4,2
audi,A5,2014,13200,Automatic,83872,Diesel,125,58.9,2
audi,Q3,2016,15200,Automatic,58750,Petrol,145,47.9,1.4
audi,A3,2019,157000,Manual,2029,Petrol,145,49.6,1
audi,A6,2018,1660,Automatic,22958,Petrol,145,50.4,1.8
audi,A4,2017,500,Automatic,32097,Diesel,145,72.4,2
audi,A5,2017,20200,Automatic,13057,Petrol,145,53.3,2
audi,S4,2017,23700,Automatic,20278,Petrol,145,38.7,3
audi,A4,2016,500,Manual,52561,Diesel,0,74.3,2
audi,A6,2015,1300,Automatic,31604,Diesel,20,67.3,2
audi,Q3,2016,915900,Manual,32011,Petrol,145,49.6,1.4
audi,Q3,2016,91500,Manual,39134,Diesel,30,60.1,2
audi,Q5,2015,914700,Automatic,89483,Diesel,205,47.1,2
audi,A3,2015,150000,Automatic,56291,Petrol,200,42.8,1.8
audi,A6,2016,1600,Automatic,47767,Diesel,20,61.4,2
audi,A1,2014,11000,Manual,34315,Petrol,125,53.3,1.4
audi,A3,2016,102000,Manual,66369,Diesel,0,83.1,1.6
audi,A6,2016,1850,Manual,34110,Diesel,30,61.4,2
audi,A1,2013,7000,Manual,76269,Diesel,0,74.3,1.6
audi,A3,2016,106000,Manual,37840,Diesel,20,70.6,1.6
audi,A3,2017,160000,Manual,26249,Diesel,30,67.3,1.6
audi,Q3,2017,91500,Manual,44898,Diesel,125,57.7,2
audi,Q3,2017,91400,Manual,67161,Petrol,150,51.4,1.4
audi,A3,2018,189500,Manual,17992,Petrol,150,54.3,1.5
audi,A4,2016,500,Manual,97440,Diesel,20,70.6,2
audi,A1,2017,11700,Manual,19268,Petrol,150,67.3,1
audi,A3,2013,11500,Automatic,51441,Petrol,125,50.4,1.8
audi,A1,2016,10800,Manual,18181,Petrol,0,67.3,1
audi,A3,2016,12500,Manual,19494,Diesel,30,67.3,2
audi,A6,2016,1660,Manual,32808,Diesel,30,61.4,2
audi,A3,2017,13100,Manual,25965,Diesel,145,65.7,2
audi,A3,2016,8300,Manual,88215,Diesel,20,68.9,2
audi,A3,2019,16000,Manual,5704,Petrol,145,49.6,1
audi,A4,2017,500,Manual,10959,Petrol,145,51.4,1.4
audi,Q5,2016,19600,Automatic,30201,Diesel,200,47.1,2
audi,Q3,2017,21800,Automatic,19319,Petrol,145,40.4,2
audi,A6,2017,16200,Manual,22582,Diesel,145,61.4,2
audi,A5,2017,1870,Manual,20052,Petrol,145,49.6,2
audi,Q3,2016,91610,Manual,16666,Diesel,30,60.1,2
audi,A3,2016,11300,Manual,25626,Diesel,0,74.3,1.6
audi,A3,2016,14100,Manual,10460,Petrol,20,60.1,1.4
audi,A6,2016,1660,Automatic,43307,Diesel,125,57.6,2
audi,A1,2017,11300,Manual,29327,Petrol,30,55.4,1.4
audi,Q3,2017,91560,Manual,36714,Petrol,125,51.4,1.4
audi,A1,2014,10000,Manual,28324,Petrol,125,53.3,1.4
audi,A1,2016,14500,Manual,12100,Petrol,30,56.5,1.4
audi,Q3,2017,91610,Manual,18001,Diesel,145,62.8,2
audi,A1,2016,10600,Manual,28760,Petrol,30,55.4,1.4
audi,A3,2019,25499,Semi-Auto,4000,Petrol,145,44.1,1.5
audi,Q2,2019,25499,Semi-Auto,7897,Diesel,145,47.9,2
audi,A6,2016,1550,Automatic,24744,Diesel,125,56.5,3
audi,Q3,2015,916200,Automatic,30075,Diesel,160,51.4,2
audi,A1,2017,14000,Manual,12577,Petrol,30,58.9,1.4
audi,A6,2016,1730,Automatic,24421,Diesel,30,61.4,2
audi,A1,2016,10600,Manual,15567,Diesel,0,76.3,1.6
audi,A4,2018,500,Manual,15207,Petrol,145,51.4,1.4
audi,A4,2017,500,Manual,14864,Petrol,145,52.3,1.4
audi,A4,2019,500,Semi-Auto,9000,Petrol,145,38.7,2
audi,A4,2019,500,Manual,5000,Petrol,145,38.7,2
audi,Q2,2019,31000,Semi-Auto,4264,Petrol,145,33.2,2
audi,Q3,2019,928000,Manual,4000,Diesel,145,42.8,2
